,title,studio,year,domestic_gross,foreign_gross,total_gross
965,Housefull 2,Eros,2012,1800000,0,1800000
967,Tales of the Night,GK,2012,11000,1700000,1711000
968,Beloved (2012),IFC,2012,138000,1500000,1638000
969,360,Magn.,2012,100000,1600000,1700000
970,2 Days in New York,Magn.,2012,633000,1000000,1633000
971,Your Sister's Sister,IFC,2012,1600000,0,1600000
972,Hermano,MBox,2012,29900,1600000,1629900
973,Lay the Favorite,RTWC,2012,21000,1600000,1621000
974,Soldiers of Fortune,RAtt.,2012,38900,1500000,1538900
975,A Late Quartet,EOne,2012,1600000,0,1600000
976,I Wish,Magn.,2012,146000,1400000,1546000
977,The Salt of Life,Zeit.,2012,317000,1200000,1517000
978,Chicken with Plums,SPC,2012,254000,1200000,1454000
979,Marley,Magn.,2012,1400000,0,1400000
980,The Paperboy,MNE,2012,693000,661000,1354000
981,Chasing Ice,SD,2012,1300000,0,1300000
982,Unforgivable,Strand,2012,154000,1200000,1354000
983,A Little Bit of Heaven,MNE,2012,15400,1300000,1315400
984,The Other Son,Cohen,2012,1300000,0,1300000
985,Meerkats,NGE,2012,778000,482000,1260000
986,"For a Good Time, Call...",Focus,2012,1300000,0,1300000
987,Take This Waltz,Magn.,2012,1200000,0,1200000
988,Cocktail (2012),Eros,2012,1200000,0,1200000
989,Once Upon a Time in Anatolia,CGld,2012,152000,1000000,1152000
990,Ek Main Aur Ekk Tu,UTV,2012,1200000,0,1200000
991,The Deep Blue Sea,MBox,2012,1100000,0,1100000
992,Coriolanus,Wein.,2012,757000,315000,1072000
993,Diana Vreeland: The Eye Has to Travel,Gold.,2012,1000000,0,1000000
994,First Position,IFC,2012,1000000,0,1000000
995,Damsels in Distress,SPC,2012,1000000,0,1000000
996,Rampart,MNE,2012,973000,0,973000
997,Elles,KL,2012,158000,754000,912000
998,W.E.,Wein.,2012,583000,285000,868000
999,Breathing,KL,2012,4600,803000,807600
1000,Darling Companion,SPC,2012,794000,0,794000
1001,Teri Meri Kahaani,Eros,2012,781000,0,781000
1002,Son of Sardaar,Eros,2012,772000,0,772000
1003,Agent Vinod,Eros,2012,698000,0,698000
1004,Student of the Year,Eros,2012,670000,0,670000
1005,The Polar Express (2012 re-issue),WB,2012,669000,0,669000
1006,Holy Motors,IM,2012,641000,0,641000
1007,Free Men,FM,2012,53800,564000,617800
1008,"Peace, Love and Misunderstanding",IFC,2012,591000,0,591000
1009,Undefeated (2012),Wein.,2012,562000,0,562000
1010,Sister (2012),AF,2012,155000,400000,555000
1011,Vicky Donor,Eros,2012,549000,0,549000
1012,Being Flynn,Focus,2012,540000,0,540000
1013,Ai Weiwei: Never Sorry,IFC,2012,534000,0,534000
1014,Where Do We Go Now?,SPC,2012,532000,0,532000
1015,Bully (2012),Wein.,2012,279000,182000,461000
1016,Ferrari Ki Sawaari,Eros,2012,434000,0,434000
1018,Apartment 143,Magn.,2012,400,426000,426400
1019,Sound of My Voice,FoxS,2012,408000,0,408000
1020,Khiladi 786,Eros,2012,379000,0,379000
1021,Smashed,SPC,2012,377000,0,377000
1022,Universal Soldier: Day of Reckoning,Magn.,2012,5500,364000,369500
1023,The Oranges,ATO,2012,366000,0,366000
1024,Liberal Arts,IFC,2012,327000,0,327000
1025,Compliance,Magn.,2012,319000,0,319000
1026,Back to 1942,CL,2012,313000,0,313000
1027,The Flowers of War,WHE,2012,311000,0,311000
1028,Something From Nothing: The Art of Rap,IM,2012,288000,0,288000
1029,Love in the Buff,CL,2012,256000,0,256000
1030,Lola Versus,FoxS,2012,253000,0,253000
1031,Keep the Lights On,MBox,2012,246000,0,246000
1032,Gerhard Richter Painting,KL,2012,243000,0,243000
1033,Trishna,IFC,2012,240000,0,240000
1034,Elena,Zeit.,2012,233000,0,233000
1035,Tezz,Eros,2012,230000,0,230000
1036,The Viral Factor,CL,2012,220000,0,220000
1037,Neil Young Journeys,SPC,2012,215000,0,215000
1038,Tai Chi Zero,Vari.,2012,212000,0,212000
1039,The House I Live In,Abr.,2012,211000,0,211000
1040,10 Years,Anch.,2012,203000,0,203000
1041,17 Girls,Strand,2012,15100,186000,201100
1042,Tim & Eric's Billion Dollar Movie,Magn.,2012,201000,0,201000
1043,Any Day Now,MBox,2012,201000,0,201000
1044,Tere Naal Love Ho Gaya,UTV,2012,178000,0,178000
1045,The Hunter (2012),Magn.,2012,177000,0,177000
1046,Butter,RTWC,2012,105000,70700,175700
1047,Kill List,IFC,2012,29100,143000,172100
1048,Flying Swords of Dragon Gate,IM,2012,170000,0,170000
1049,Joker,UTV,2012,169000,0,169000
1050,Dark Horse,BM&DH,2012,166000,0,166000
1051,Shirin Farhad Ki Toh Nikal Padi,Eros,2012,156000,0,156000
1052,Bullhead,Drft.,2012,152000,0,152000
1053,Chakravyuh,Eros,2012,152000,0,152000
1054,Luv Shuv Tey Chicken Khurana,UTV,2012,144000,0,144000
1055,High School,Anch.,2012,139000,0,139000
1056,Warriors of the Rainbow: Seediq Bale,WGUSA,2012,136000,0,136000
1057,The Loneliest Planet,IFC,2012,130000,0,130000
1058,Forgiveness of Blood,IFC,2012,127000,0,127000
1059,Toys in the Attic,Hann.,2012,64900,61600,126500
1060,"Turn Me On, Dammit!",NYer,2012,126000,0,126000
1061,God Bless America,Magn.,2012,123000,0,123000
1062,Bullet Vanishes,CL,2012,118000,0,118000
1063,The Woman in the Fifth,ATO,2012,114000,0,114000
1064,5 Broken Cameras,KL,2012,110000,0,110000
1065,Hello I Must Be Going,Osci.,2012,107000,0,107000
1066,The Magic of Belle Isle,Magn.,2012,102000,0,102000
1067,"Oslo, August 31st",Strand,2012,101000,0,101000
1068,Wuthering Heights (2012),Osci.,2012,101000,0,101000
1069,Mugamoodi,UTV,2012,101000,0,101000
1070,V/H/S,Magn.,2012,100000,0,100000
1071,Goodbye First Love,IFC,2012,95000,0,95000
1072,Marina Abramovic: The Artist is Present,MBox,2012,86600,0,86600
1073,The Eye of the Storm,SEG,2012,83600,0,83600
1074,Wagner & Me,FRun,2012,37700,41000,78700
1075,The Innkeepers,Magn.,2012,78400,0,78400
1076,This is Not a Film,PalT,2012,77000,0,77000
1077,The Island President,Gold.,2012,76400,0,76400
1078,Detachment,Trib.,2012,72700,0,72700
1080,Attenberg,Strand,2012,24000,45900,69900
1081,Deadfall (2012),Magn.,2012,66400,0,66400
1082,Girlfriend Boyfriend - GF BF,CL,2012,64400,0,64400
1083,Vulgaria,CL,2012,59100,0,59100
1084,The Turin Horse,CGld,2012,56400,0,56400
1085,Jodi Breakers,Yash,2012,52600,0,52600
1086,Painted Skin: The Resurrection,WGUSA,2012,50400,0,50400
1087,"All's Well, End's Well (2012)",CL,2012,47900,0,47900
1088,North Sea Texas,Strand,2012,28300,16700,45000
1089,Double Trouble,CL,2012,44800,0,44800
1090,The Fairy,KL,2012,38400,0,38400
1091,Hit So Hard,Vari.,2012,34000,0,34000
1092,Kalakalappu@Masala Cafe,UTV,2012,30900,0,30900
1093,The Bay,RAtt.,2012,30700,0,30700
1094,You've Been Trumped,ICir,2012,29300,0,29300
1095,Here (2012),Strand,2012,26700,0,26700
1096,In Another Country,KL,2012,25100,0,25100
1097,The First Time,Gold.,2012,22800,0,22800
1098,Bonsai,Strand,2012,21300,0,21300
1099,The Day,Anch.,2012,21000,0,21000
1100,28 Hotel Rooms,Osci.,2012,18900,0,18900
1101,Lovely Molly,Imag.,2012,18500,0,18500
1102,Juan of the Dead,Outs,2012,18000,0,18000
1103,4:44: Last Day on Earth,IFC,2012,17800,0,17800
1104,Little Birds,MNE,2012,17700,0,17700
1105,Return (2012),Da.,2012,16100,0,16100
1106,Alps,KL,2012,16100,0,16100
1107,Patience (After Sebald),CGld,2012,15900,0,15900
1108,Take Me Home,Mont.,2012,15800,0,15800
1109,Reuniting the Rubins,Mont.,2012,13600,0,13600
1110,Cirkus Columbia,Strand,2012,3500,9500,13000
1111,Grassroots,Gold.,2012,12400,0,12400
1112,Husbands in Goa,UTV,2012,10100,0,10100
1113,Starry Starry Night,CL,2012,10000,0,10000
1114,Corpo Celeste,FM,2012,8900,0,8900
1115,Dreams of a Life,Strand,2012,8400,0,8400
1116,The Babymakers,MNE,2012,7900,0,7900
1117,Las Acacias,OutF,2012,6000,0,6000
1118,The Good Doctor,Magn.,2012,5200,0,5200
1119,Liar's Autobiography,BSM,2012,5100,0,5100
1120,Sleepless Night,Trib.,2012,3400,0,3400
1121,ATM,IFC,2012,3000,0,3000
1122,About Cherry,IFC,2012,3000,0,3000
1123,Perfect Sense,IFC,2012,3000,0,3000
1124,Cheerful Weather for the Wedding,IFC,2012,2700,0,2700
1125,The Decoy Bride,IFC,2012,800,0,800
1126,Death of a Superhero,Trib.,2012,600,0,600
1127,Frozen,BV,2013,400700000,875700000,1276400000
1128,Iron Man 3,BV,2013,409000000,805800000,1214800000
1129,Despicable Me 2,Uni.,2013,368100000,602700000,970800000
1130,The Hobbit: The Desolation of Smaug,WB (NL),2013,258399999,700000000,958399999
1131,The Hunger Games: Catching Fire,LGF,2013,424700000,440300000,865000000
1132,Fast & Furious 6,Uni.,2013,238700000,550000000,788700000
1133,Monsters University,BV,2013,268500000,475700000,744200000
1134,Gravity,WB,2013,274100000,449100000,723200000
1135,Man of Steel,WB,2013,291000000,377000000,668000000
1136,Thor: The Dark World,BV,2013,206400000,438200000,644600000
1137,The Croods,Fox,2013,187200000,400000000,587200000
1138,World War Z,Par.,2013,202400000,337600000,540000000
1139,Oz The Great and Powerful,BV,2013,234900000,258399999,493299999
1140,Star Trek Into Darkness,Par.,2013,228800000,238600000,467400000
1141,The Wolverine,Fox,2013,132600000,282300000,414900000
1142,Pacific Rim,WB,2013,101800000,309200000,411000000
1143,The Wolf of Wall Street,Par.,2013,116900000,275100000,392000000
1144,G.I. Joe: Retaliation,Par.,2013,122500000,253200000,375700000
1145,The Hangover Part III,WB,2013,112200000,249800000,362000000
1146,The Great Gatsby (2013),WB,2013,144800000,208800000,353600000
1147,Now You See Me,LG/S,2013,117700000,234000000,351700000
1148,The Smurfs 2,Sony,2013,71000000,276500000,347500000
1149,The Conjuring,WB (NL),2013,137400000,182100000,319500000
1150,A Good Day to Die Hard,Fox,2013,67300000,237300000,304600000
1151,Oblivion,Uni.,2013,89100000,197100000,286200000
1152,Elysium,TriS,2013,93100000,193100000,286200000
1153,Turbo,Fox,2013,83000000,199500000,282500000
1154,Cloudy with a Chance of Meatballs 2,Sony,2013,119800000,154500000,274300000
1155,We're the Millers,WB (NL),2013,150400000,119600000,270000000
1156,Epic,Fox,2013,107500000,160900000,268400000
1157,The Lone Ranger,BV,2013,89300000,171200000,260500000
1158,American Hustle,Sony,2013,150100000,101100000,251200000
1159,Grown Ups 2,Sony,2013,133699999,113300000,246999999
1160,After Earth,Sony,2013,60500000,183300000,243800000
1161,Planes,BV,2013,90300000,149000000,239300000
1162,The Heat,Fox,2013,159600000,70300000,229900000
1163,Hansel and Gretel: Witch Hunters,Par.,2013,55700000,170600000,226300000
1164,Captain Phillips,Sony,2013,107100000,111700000,218800000
1165,White House Down,Sony,2013,73100000,132300000,205400000
1166,Percy Jackson: Sea of Monsters,Fox,2013,68600000,131300000,199900000
1167,Lost in Thailand,WAMCR,2013,57400,197700000,197757400
1168,Jack the Giant Slayer,WB (NL),2013,65200000,132500000,197700000
1169,The Secret Life of Walter Mitty,Fox,2013,58200000,129900000,188100000
1170,12 Years a Slave,FoxS,2013,56700000,131100000,187800000
1171,Lee Daniels' The Butler,Wein.,2013,116600000,60000000,176600000
1172,Identity Thief,Uni.,2013,134500000,39500000,174000000
1173,Anchorman 2: The Legend Continues,Par.,2013,125200000,46300000,171500000
1174,Olympus Has Fallen,FD,2013,98900000,71300000,170200000
1175,Insidious Chapter 2,FD,2013,83600000,78300000,161900000
1176,Lone Survivor,Uni.,2013,125100000,29700000,154800000
1177,Jackass Presents: Bad Grandpa,Par.,2013,102000000,49800000,151800000
1178,47 Ronin,Uni.,2013,38400000,113400000,151800000
1179,Red 2,LG/S,2013,53300000,94800000,148100000
1180,Mama,Uni.,2013,71600000,74800000,146400000
1181,Escape Plan,LG/S,2013,25100000,112200000,137300000
1182,Last Vegas,CBS,2013,63900000,70500000,134400000
1183,2 Guns,Uni.,2013,75600000,56300000,131900000
1184,Walking with Dinosaurs,Fox,2013,36100000,90500000,126600000
1185,This is the End,Sony,2013,101500000,24600000,126100000
1186,Ender's Game,LG/S,2013,61700000,63800000,125500000
1187,Prisoners,WB,2013,61000000,61100000,122100000
1188,Saving Mr. Banks,BV,2013,83300000,34600000,117900000
1189,Warm Bodies,LG/S,2013,66400000,50600000,117000000
1190,Jurassic Park 3D,Uni.,2013,45400000,71100000,116500000
1191,Personal Tailor,CL,2013,376000,115800000,116176000
1192,Free Birds,Rela.,2013,55800000,54600000,110400000
1193,Gangster Squad,WB,2013,46000000,59200000,105200000
1194,Philomena,Wein.,2013,37700000,62400000,100100000
1195,Instructions Not Included,LGF,2013,44500000,54600000,99100000
1196,Riddick,Uni.,2013,42000000,56300000,98300000
1197,Safe Haven,Rela.,2013,71300000,26200000,97500000
1198,Evil Dead (2013),TriS,2013,54200000,43300000,97500000
1199,Blue Jasmine,SPC,2013,33400000,64099999,97499999
1200,The Mortal Instruments: City of Bones,SGem,2013,31200000,64200000,95400000
1201,The Internship,Fox,2013,44700000,48800000,93500000
1202,Rush (2013),Uni.,2013,26900000,63300000,90200000
1203,The Purge,Uni.,2013,64500000,24900000,89400000
1204,Dhoom 3,Yash,2013,8000000,80000000,88000000
1205,About Time,Uni.,2013,15300000,71800000,87100000
1206,Pain and Gain,Par.,2013,49900000,36300000,86200000
1207,Carrie (2013),SGem,2013,35300000,49500000,84800000
1208,The Family (2013),Rela.,2013,36900000,41500000,78400000
1209,Scary Movie 5,W/Dim.,2013,32000000,46400000,78400000
1210,R.I.P.D.,Uni.,2013,33600000,44700000,78300000
1211,Tiny Times,CL,2013,23500,77700000,77723500
1212,The Book Thief,Fox,2013,21500000,55100000,76600000
1213,Escape From Planet Earth,Wein.,2013,57000000,17600000,74600000
1214,August: Osage County,Wein.,2013,37700000,36500000,74200000
1215,The Best Man Holiday,Uni.,2013,70500000,2300000,72800000
1216,Young Detective Dee: Rise of the Sea Dragon,WAMCR,2013,87800,72200000,72287800
1217,The Counselor,Fox,2013,17000000,54000000,71000000
1218,The Call,TriS,2013,51900000,16700000,68600000
1219,One Direction: This is Us,TriS,2013,28900000,39700000,68600000
1220,The Grandmaster,Wein.,2013,6600000,57500000,64100000
1221,Side Effects (2013),ORF,2013,32200000,31200000,63400000
1222,The Host (2013),ORF,2013,26600000,36700000,63300000
1223,Runner Runner,Fox,2013,19300000,43400000,62700000
1224,From Up on Poppy Hill,GK,2013,1000000,60000000,61000000
1225,Kick-Ass 2,Uni.,2013,28800000,32000000,60800000
1226,A Haunted House,ORF,2013,40000000,20100000,60100000
1227,Beautiful Creatures (2013),WB,2013,19500000,40600000,60100000
1228,Quartet,Wein.,2013,18400000,41100000,59500000
1229,Dallas Buyers Club,Focus,2013,27300000,27900000,55200000
1230,The Face Reader,PM&E,2013,516000,54100000,54616000
1231,Tyler Perry's A Madea Christmas,LGF,2013,52500000,853000,53353000
1232,Tyler Perry's Temptation: Confessions of a Marriage Counselor,LGF,2013,52000000,1200000,53200000
1233,Delivery Man,BV,2013,30700000,19300000,50000000
1234,The Berlin File,CJ,2013,665000,48300000,48965000
1235,The Last Stand,LGF,2013,12100000,36300000,48400000
1236,21 and Over,Rela.,2013,25700000,22400000,48100000
1237,Her (2013),WB,2013,25600000,21800000,47400000
1238,Tiny Times 2,CL,2013,43800,47200000,47243800
1239,Texas Chainsaw 3D,LGF,2013,34300000,12900000,47200000
1240,The Big Wedding,LGF,2013,21800000,24700000,46500000
1241,Parker,FD,2013,17600000,28600000,46200000
1242,The World's End,Focus,2013,26000000,20100000,46100000
1243,Grudge Match,WB,2013,29800000,15100000,44900000
1244,Homefront,ORF,2013,20200000,22900000,43100000
1245,Snitch,LG/S,2013,42900000,0,42900000
1246,Jobs,ORF,2013,16100000,19800000,35900000
1247,The Place Beyond the Pines,Focus,2013,21400000,14100000,35500000
1248,Inside Llewyn Davis,CBS,2013,13200000,19700000,32900000
1249,Mud,RAtt.,2013,21600000,11000000,32600000
1250,Movie 43,Rela.,2013,8800000,23600000,32400000
1251,Kevin Hart: Let Me Explain,LG/S,2013,32200000,74000,32274000
1252,Spring Breakers,A24,2013,14100000,17600000,31700000
1253,New World (2013),WGUSA,2013,458000,31200000,31658000
1254,Don Jon,Rela.,2013,24500000,6000000,30500000
1255,I Give It a Year,Magn.,2013,34700,28200000,28234700
1256,Nebraska,Par.,2013,17700000,10000000,27700000
1257,The Incredible Burt Wonderstone,WB (NL),2013,22500000,4900000,27400000
1258,Mandela: Long Walk to Freedom,Wein.,2013,8300000,19000000,27300000
1259,Khumba,MNE,2013,1000,27200000,27201000
1260,Dark Skies,W/Dim.,2013,17400000,9000000,26400000
1261,Enough Said,FoxS,2013,17600000,7700000,25300000
1262,Trance,FoxS,2013,2300000,21900000,24200000
1263,"The Way, Way Back",FoxS,2013,21500000,1700000,23200000
1264,Kon-Tiki,Wein.,2013,1500000,21300000,22800000
1265,Baggage Claim,FoxS,2013,21600000,887000,22487000
1266,Diana,EOne,2013,335000,21400000,21735000
1267,The Great Beauty,Jan.,2013,2900000,18500000,21400000
1269,The Sapphires,Wein.,2013,2500000,18000000,20500000
1270,Broken City,Fox,2013,19700000,0,19700000
1271,The Company You Keep,SPC,2013,5100000,14500000,19600000
1272,The Bling Ring,A24,2013,5800000,13300000,19100000
1273,You're Next,LGF,2013,18500000,0,18500000
1274,Dead Man Down,FD,2013,10900000,7200000,18100000
1275,Admission,Focus,2013,18000000,0,18000000
1276,Fruitvale Station,Wein.,2013,16100000,1300000,17400000
1277,Battle of the Year,SGem,2013,8900000,7700000,16600000
1278,Out of the Furnace,Rela.,2013,11300000,4300000,15600000
1279,Billy and Buddy,Distrib.,2013,900,15200000,15200900
1280,The Last Exorcism Part II,CBS,2013,15200000,0,15200000
1281,Machete Kills,ORF,2013,8000000,7000000,15000000
1282,Journey to the South Pacific,Imax,2013,7600000,6500000,14100000
1283,Paranoia,Rela.,2013,7400000,6400000,13800000
1284,All Is Lost,RAtt.,2013,6300000,7400000,13700000
1285,Puella Magi Madoka Magica the Movie: Rebellion,Elev.,2013,376000,12600000,12976000
1286,Stoker,FoxS,2013,1700000,10400000,12100000
1287,In the House,Cohen,2013,390000,11500000,11890000
1288,I'm So Excited,SPC,2013,1400000,10400000,11800000
1289,Haute Cuisine,Wein.,2013,218000,11200000,11418000
1290,Before Midnight,SPC,2013,8100000,3100000,11200000
1291,Only God Forgives,RTWC,2013,779000,9900000,10679000
1292,The Past,SPC,2013,1300000,9300000,10600000
1293,Love is All You Need,SPC,2013,1600000,8400000,10000000
1294,Bullet to the Head,WB,2013,9500000,0,9500000
1295,Tyler Perry Presents Peeples,LGF,2013,9200000,130000,9330000
1296,Jerusalem,NGE,2013,8000000,1300000,9300000
1297,The Fifth Estate,BV,2013,3300000,5300000,8600000
1298,Upside Down,MNE,2013,105000,8000000,8105000
1299,Metallica Through the Never,PH,2013,3400000,4600000,8000000
1300,Pulling Strings,LGF,2013,5800000,2000000,7800000
1301,Black Nativity,FoxS,2013,7000000,436000,7436000
1302,Blue Is the Warmest Color,IFC,2013,2200000,5200000,7400000
1303,Unfinished Song,Wein.,2013,1700000,5300000,7000000
1304,The Angels' Share,IFC,2013,347000,6700000,7047000
1305,The Spectacular Now,A24,2013,6900000,0,6900000
1306,The Sweeney,EOne,2013,26700,6300000,6326700
1307,Believe,ORF,2013,6200000,0,6200000
1309,Closed Circuit,Focus,2013,5800000,0,5800000
1310,Populaire,Wein.,2013,179000,5300000,5479000
1311,Broken Circle Breakdown,Trib.,2013,175000,5300000,5475000
1312,Fists of Legend,CJ,2013,134000,5300000,5434000
1313,Chennai Express,UTV,2013,5300000,0,5300000
1314,20 Feet from Stardom,RTWC,2013,4900000,0,4900000
1315,Oldboy (2013),FD,2013,2200000,2700000,4900000
1316,Commitment,WGUSA,2013,76500,4500000,4576500
1317,White Elephant,Strand,2013,8900,4400000,4408900
1318,Much Ado About Nothing (2013),RAtt.,2013,4300000,0,4300000
1319,Frances Ha,IFC,2013,4099999,0,4099999
1320,You Will Be My Son,Cohen,2013,285000,3600000,3885000
1321,Yeh Jawaani Hai Deewani,Eros,2013,3800000,0,3800000
1322,Pieta,Drft.,2013,22100,3600000,3622100
1323,Mental,Da.,2013,17700,3600000,3617700
1324,The To-Do List,CBS,2013,3500000,74600,3574600
1325,Mr. Nobody,Magn.,2013,3600,3500000,3503600
1326,Emperor,RAtt.,2013,3300000,0,3300000
1327,Stand Up Guys,LGF,2013,3300000,0,3300000
1328,In a World,RAtt.,2013,3000000,0,3000000
1329,Ram-Leela,Eros,2013,2700000,0,2700000
1330,Capital,Cohen,2013,102000,2400000,2502000
1331,The East,FoxS,2013,2300000,99700,2399700
1332,I'm In Love With a Church Girl,HTR,2013,2400000,0,2400000
1333,No (2013),SPC,2013,2300000,0,2300000
1334,Renoir,Gold.,2013,2300000,0,2300000
1335,The Christmas Candle,ELS,2013,2300000,0,2300000
1336,Reality (2013),Osci.,2013,72600,2200000,2272600
1337,Krrish 3,Eros,2013,2200000,0,2200000
1338,Austenland,SPC,2013,2200000,0,2200000
1339,The Sorcerer and the White Snake,Magn.,2013,18800,2100000,2118800
1341,The Iceman (2013),MNE,2013,2000000,0,2000000
1343,Fill the Void,SPC,2013,1800000,0,1800000
1344,Starbuck (U.S. only),E1,2013,340000,1300000,1640000
1345,Bhaag Milkha Bhaag,Relbig.,2013,1600000,0,1600000
1346,Therese,MPI,2013,102000,1500000,1602000
1347,Stories We Tell,RAtt.,2013,1600000,0,1600000
1348,Lovelace,RTWC,2013,357000,1200000,1557000
1349,Race 2,UTV,2013,1600000,0,1600000
1350,Disconnect,LD,2013,1400000,0,1400000
1351,Girl Most Likely,RAtt.,2013,1400000,0,1400000
1352,Wadjda (U.S. only),SPC,2013,1300000,0,1300000
1353,The Kings of Summer,CBS,2013,1300000,0,1300000
1354,The Invisible Woman,SPC,2013,1200000,0,1200000
1355,Violeta Went to Heaven,KL,2013,21500,1200000,1221500
1356,Romeo and Juliet (2013),Rela.,2013,1200000,0,1200000
1357,Still Mine,Gold.,2013,1200000,0,1200000
1358,The Wall (2013),MBox,2013,38700,1100000,1138700
1359,Kai Po Che,UTV,2013,1100000,0,1100000
1360,What Maisie Knew,MNE,2013,1100000,0,1100000
1361,Thanks for Sharing,RAtt.,2013,1100000,0,1100000
1362,Ain't Them Bodies Saints,IFC,2013,397000,635000,1032000
1363,Kill Your Darlings,SPC,2013,1000000,0,1000000
1364,Short Term 12,Cdgm.,2013,1000000,0,1000000
1365,Ginger & Rosa,A24,2013,1000000,0,1000000
1366,Lore,MBox,2013,970000,0,970000
1367,Raanjhana,Eros,2013,903000,0,903000
1369,Generation Iron,TVC,2013,850000,0,850000
1370,The Monk,ATO,2013,13500,794000,807500
1371,Satyagraha,UTV,2013,739000,0,739000
1372,Hannah Arendt,Zeit.,2013,717000,0,717000
1373,Besharam,Relbig.,2013,680000,0,680000
1374,Salinger,Wein.,2013,584000,67000,651000
1375,The Hunt,Magn.,2013,613000,0,613000
1376,Walking the Camino: Six Ways to Santiago,FEF,2013,613000,0,613000
1377,To The Wonder,Magn.,2013,588000,0,588000
1378,Lootera,Eros,2013,582000,0,582000
1379,Museum Hours,CGld,2013,561000,0,561000
1380,The Reluctant Fundamentalist,IFC,2013,553000,0,553000
1381,You Ain't Seen Nothin' Yet,KL,2013,18900,488000,506900
1382,The Inevitable Defeat of Mister and Pete,LGF,2013,495000,0,495000
1383,Act of Killing,Drft.,2013,487000,0,487000
1384,Sound City,Vari.,2013,423000,0,423000
1385,Shadow Dancer,Magn.,2013,101000,319000,420000
1386,A Hijacking,Magn.,2013,414000,0,414000
1387,Grand Masti,Eros,2013,414000,0,414000
1388,Phata Poster Nikla Hero,Eros,2013,411000,0,411000
1389,The Armstrong Lie,SPC,2013,383000,0,383000
1390,Tai Chi Hero,WGUSA,2013,35100,347000,382100
1391,At Any Price,SPC,2013,381000,0,381000
1392,Shootout at Wadala,Eros,2013,370000,0,370000
1393,Gori Tere Pyaar Mein,Relbig.,2013,342000,0,342000
1394,Adore,EXCL,2013,319000,0,319000
1395,A Bottle in the Gaza Sea,FM,2013,5900,306000,311900
1396,Go Goa Gone,Eros,2013,298000,0,298000
1397,Blancanieves,Cohen,2013,280000,0,280000
1398,Himmatwala,UTV,2013,271000,0,271000
1399,Great Expectations (2013),MSF,2013,259000,0,259000
1400,The Silence,MBox,2013,100000,132000,232000
1401,Singh Saab The Great,Eros,2013,226000,0,226000
1402,ABCD (Any Body Can Dance),UTV,2013,222000,0,222000
1403,Arthur Newman,Cdgm.,2013,208000,0,208000
1404,Ghanchakkar,UTV,2013,203000,0,203000
1405,Midnight's Children,P/108,2013,190000,0,190000
1406,R... Rajkumar,Eros,2013,167000,0,167000
1407,We Steal Secrets: The Story of Wikileaks,FCW,2013,166000,0,166000
1408,The Patience Stone,SPC,2013,149000,0,149000
1409,Rangeelay,Eros,2013,148000,0,148000
1410,Drug War,Vari.,2013,128000,0,128000
1411,Beyond the Hills,IFC,2013,125000,0,125000
1412,Storm Surfers 3D,XL,2013,117000,0,117000
1413,Yossi,Strand,2013,117000,0,117000
1414,Spinning Plates,TFA,2013,112000,0,112000
1415,Ek Thi Daayan,Eros,2013,112000,0,112000
1416,The English Teacher,Cdgm.,2013,105000,0,105000
1417,Man of Tai Chi,RTWC,2013,100000,0,100000
1418,Passion,EOne,2013,92200,0,92200
1419,Byzantium,IFC,2013,89200,0,89200
1420,The Rooftop,WGUSA,2013,85800,0,85800
1421,We Are What We Are,EOne,2013,81400,0,81400
1422,Stuck in Love,MNE,2013,81100,0,81100
1423,More Than Honey,KL,2013,79800,0,79800
1424,Caesar Must Die,AF,2013,76900,0,76900
1425,Leviathan (2013),CGld,2013,76200,0,76200
1426,No One Lives,Anch.,2013,74900,0,74900
1427,War Witch,Trib.,2013,70500,0,70500
1428,The Pervert's Guide to Ideology,Zeit.,2013,68000,0,68000
1429,My Lucky Star,CL,2013,64400,0,64400
1430,Becoming Traviata,Distrib.,2013,62700,0,62700
1431,Sightseers,IFC,2013,61800,0,61800
1432,The Canyons,IFC,2013,56800,0,56800
1433,Table No. 21,Eros,2013,46700,0,46700
1434,Wish You Were Here (2013),EOne,2013,46300,0,46300
1435,A Glimpse Inside the Mind of Charles Swan III,A24,2013,45400,0,45400
1436,The We and the I,P/108,2013,42200,0,42200
1437,Killing Season,MNE,2013,39900,0,39900
1438,Post Tenebras Lux,Strand,2013,39200,0,39200
1439,Rising From Ashes,FRun,2013,38600,0,38600
1440,Berberian Sound Studio,IFC,2013,38500,0,38500
1441,Ip Man: The Final Fight,WGUSA,2013,37900,0,37900
1442,Redemption (2013),RAtt.,2013,36900,0,36900
1443,Camille Claudel 1915,KL,2013,35300,0,35300
1444,Bastards,IFC,2013,24500,0,24500
1445,Paradise: Love,Strand,2013,24300,0,24300
1446,Our Children,Distrib.,2013,23200,0,23200
1447,V/H/S/2,Magn.,2013,21800,0,21800
1448,The Look of Love,IFC,2013,21300,0,21300
1449,The Painting (2013),GK,2013,21000,0,21000
1450,Terraferma,Cohen,2013,20000,0,20000
1451,Love and Honor (2013),IFC,2013,19700,0,19700
1452,Nostalghia,KL,2013,18800,0,18800
1453,Casting By,SD,2013,18200,0,18200
1454,Violet & Daisy,Cdgm.,2013,17200,0,17200
1455,Jayne Mansfield's Car,Anch.,2013,14800,0,14800
1456,A Wedding Invitation,CJ,2013,14400,0,14400
1457,Red Obsession,A23,2013,13200,0,13200
